latitude,longitude,room_type,price
40.71186236,-73.94228841,Shared room,$42.00 
40.71523908,-73.95015469,Shared room,$150.00 
40.6913199,-73.94205186,Shared room,$50.00 
40.6876776,-73.95762016,Shared room,$35.00 
40.69673633,-73.92972369,Shared room,$32.00 
40.68555903,-73.96238088,Shared room,$500.00 
40.67306889,-73.95364135,Shared room,$160.00 
40.6885665,-73.8720597,Shared room,$20.00 
40.78973616,-73.9424984,Shared room,$80.00 
40.74177265,-73.87859179,Shared room,$28.00 
40.72184294,-73.98164779,Shared room,$60.00 
40.71032529,-74.00979037,Shared room,$79.00 
40.63757821,-74.0261544,Shared room,$23.00 
40.5850369,-73.96702399,Shared room,$32.00 
40.73419012,-73.95391014,Shared room,$48.00 
40.82787229,-73.94975208,Shared room,$20.00 
40.82483821,-73.94442831,Shared room,$62.00 
40.81435338,-73.94670484,Shared room,$54.00 
40.76342783,-73.99150503,Shared room,$49.00 
40.76551358,-73.98898544,Shared room,$139.00 
40.75484017,-73.87639744,Shared room,$75.00 
40.71110849,-73.98930993,Shared room,$29.00 
40.61588178,-73.94612977,Shared room,$35.00 
40.84653054,-73.91753178,Shared room,$75.00 
40.72244524,-73.99415772,Shared room,$90.00 
40.74607444,-73.91415173,Shared room,$35.00 
40.64639852,-74.01343777,Shared room,$60.00 
40.77141161,-73.98862455,Shared room,$50.00 
40.77259547,-73.97927587,Shared room,$68.00 
40.77700225,-73.97708353,Shared room,$70.00 
40.7940685,-73.97679409,Shared room,$55.00 
40.80339986,-73.96832099,Shared room,$40.00 
40.73667704,-74.00201381,Shared room,$350.00 
40.73460557,-74.00593973,Shared room,$350.00 
40.70718519,-73.95927174,Shared room,$37.00 
40.70648487,-73.81490519,Shared room,$48.00 
40.85520525,-73.86709168,Shared room,$30.00 
40.66728814,-73.93228343,Shared room,$43.00 
40.67564643,-73.91582,Shared room,$70.00 
40.68680138,-73.87173652,Shared room,$20.00 
40.72981904,-73.98822696,Shared room,$75.00 
40.70883123,-74.00764122,Shared room,$100.00 
40.68203492,-73.984272,Shared room,$85.00 
40.8216026,-73.95582511,Shared room,$60.00 
40.80385091,-73.95435882,Shared room,$30.00 
40.82404698,-73.950971,Shared room,$93.00 
40.76249971,-73.98905223,Shared room,$79.00 
40.8707553,-73.90336912,Shared room,$90.00 
40.74240327,-73.97642446,Shared room,$79.00 
40.7219528,-73.98860818,Shared room,$55.00 
40.71883966,-73.99076111,Shared room,$29.00 
40.81049097,-73.95993054,Shared room,$40.00 
40.82919387,-73.87613697,Shared room,$30.00 
40.72265608,-73.85686002,Shared room,$35.00 
